desocupa
3.8
3.5
3.8
3.1
3.5
3.1
4
3.6
3.9
3.3
3.8
3.5
3.9
3.4
4.1
4.2
5
5.1
6.1
5.2
5.3
5.2
5.6
5.3
5.2
5.2
5.5
4.9
4.9
4.8
5.1
4.9
4.9
5
5.2
4.6
4.8
4.9
5.2
4.4
