desocupa 1
4.8
4.5
4.8
4.1
4.5
4.1
5
4.6
4.9
4.3
4.8
4.5
4.9
4.4
5.1
5.2
6
6.1
7.1
6.2
6.3
6.2
6.6
6.3
6.2
6.2
6.5
5.9
5.9
5.8
6.1
5.9
5.9
6
6.2
5.6
5.8
5.9
6.2
5.4
